,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,63.19,71,0,7.36,AU,1616888878
1,coquimbo,-29.9533,-71.3436,59.0,88,75,9.22,CL,1616888879
2,pandan,14.0453,124.1694,80.26,83,84,8.03,PH,1616888880
3,husavik,66.0449,-17.3389,19.4,86,90,13.8,IS,1616888881
4,albany,42.6001,-73.9662,54.0,56,79,1.9,US,1616888882
5,jardim,-21.4803,-56.1381,79.05,44,98,2.95,BR,1616888883
6,vaini,-21.2,-175.2,86.0,74,75,6.91,TO,1616888884
7,dikson,73.5069,80.5464,-21.44,100,98,8.12,RU,1616888885
8,eirunepe,-6.6603,-69.8736,74.19,96,94,2.17,BR,1616888885
9,mataura,-46.1927,168.8643,60.01,88,99,5.01,NZ,1616888887
10,barra,-11.0894,-43.1417,83.07,43,60,2.28,BR,1616888887
11,wembley,-31.9333,115.8,66.99,55,0,10.36,AU,1616888888
12,victoria,22.2855,114.1577,75.0,86,10,4.29,HK,1616888652
13,saint-philippe,-21.3585,55.7679,75.2,83,0,5.75,RE,1616888889
14,qaanaaq,77.484,-69.3632,-13.5,86,99,5.99,GL,1616888890
15,waidhofen,48.5833,11.3333,42.01,70,75,4.61,DE,1616888730
16,bluff,-46.6,168.3333,60.01,88,100,5.01,NZ,1616888891
17,rikitea,-23.1203,-134.9692,79.72,69,1,17.27,PF,1616888892
18,ushuaia,-54.8,-68.3,55.4,54,40,17.27,AR,1616888849
19,punta arenas,-53.15,-70.9167,50.0,62,20,43.73,CL,1616888893
20,kandrian,-6.2167,149.55,84.58,72,100,7.0,PG,1616888894
21,sayyan,15.1718,44.3244,51.87,27,45,2.42,YE,1616888894
22,cape town,-33.9258,18.4232,63.0,63,0,5.75,ZA,1616888736
23,stryn,61.9045,6.7226,35.01,90,89,7.99,NO,1616888895
24,saint-pierre,-21.3393,55.4781,75.2,83,0,5.75,RE,1616888896
25,jamestown,42.097,-79.2353,60.8,44,1,4.5,US,1616888897
26,mar del plata,-38.0023,-57.5575,61.0,94,90,23.02,AR,1616888897
27,saldanha,-33.0117,17.9442,55.4,76,1,3.44,ZA,1616888898
28,new norfolk,-42.7826,147.0587,59.0,91,100,5.68,AU,1616888899
29,butaritari,3.0707,172.7902,81.19,79,92,13.06,KI,1616888899
30,barrow,71.2906,-156.7887,-11.2,77,1,5.75,US,1616888900
31,kruisfontein,-34.0033,24.7314,59.0,76,15,1.01,ZA,1616888900
32,hobart,-42.8794,147.3294,61.0,63,40,14.97,AU,1616888901
33,waingapu,-9.6567,120.2641,81.68,78,85,5.23,ID,1616888901
34,xapuri,-10.6517,-68.5044,74.16,97,94,1.52,BR,1616888902
35,mahebourg,-20.4081,57.7,73.4,94,75,5.75,MU,1616888903
36,tilichiki,60.4667,166.1,10.83,87,100,14.0,RU,1616888903
37,yaring,6.8662,101.3689,77.29,85,5,4.88,TH,1616888904
38,vostok,46.4856,135.8833,37.94,96,85,3.49,RU,1616888707
39,hilo,19.7297,-155.09,75.2,78,90,6.91,US,1616888905
40,salalah,17.0151,54.0924,77.0,44,0,3.44,OM,1616888712
41,mahajanga,-15.7167,46.3167,80.6,83,20,4.61,MG,1616888906
42,chimore,-16.9833,-65.1333,72.23,98,100,1.19,BO,1616888907
43,roma,43.2128,-75.4557,48.2,57,1,6.91,US,1616888908
44,chokurdakh,70.6333,147.9167,1.47,87,100,6.73,RU,1616888908
45,airai,-8.9266,125.4092,65.98,82,100,2.62,TL,1616888909
46,arraial do cabo,-22.9661,-42.0278,78.8,78,0,4.61,BR,1616888909
47,chuy,-33.6971,-53.4616,68.38,89,100,3.36,UY,1616888911
48,antofagasta,-23.65,-70.4,62.6,77,20,11.5,CL,1616888866
49,dzhebariki-khaya,62.2167,135.8,22.57,94,100,0.07,RU,1616888912
50,port alfred,-33.5906,26.891,62.47,76,50,7.9,ZA,1616888913
51,hermanus,-34.4187,19.2345,55.99,84,5,1.01,ZA,1616888914
52,kapaa,22.0752,-159.319,77.0,73,1,13.8,US,1616888915
53,mahanoro,-19.9,48.8,75.27,90,6,4.47,MG,1616888916
54,yellowknife,62.456,-114.3525,26.6,46,75,10.36,CA,1616888916
55,saint anthony,45.0205,-93.218,37.99,87,90,13.8,US,1616888917
56,san quintin,30.4833,-115.95,66.09,41,0,11.43,MX,1616888917
57,luohe,33.5717,114.0353,59.4,77,0,8.41,CN,1616888918
58,college,64.8569,-147.8028,26.6,59,90,8.05,US,1616888919
59,baruun-urt,46.6806,113.2792,28.17,53,100,25.66,MN,1616888919
60,vangaindrano,-23.35,47.6,72.52,95,8,3.56,MG,1616888920
61,zaysan,47.4667,84.8667,31.93,81,68,3.27,KZ,1616888920
62,isangel,-19.55,169.2667,82.4,78,20,5.75,VU,1616888921
63,ahipara,-35.1667,173.1667,66.56,89,100,11.23,NZ,1616888921
64,deputatskiy,69.3,139.9,4.93,91,98,0.69,RU,1616888923
65,mancora,-4.1078,-81.0475,78.8,65,0,10.36,PE,1616888923
66,lebu,-37.6167,-73.65,56.35,87,12,18.95,CL,1616888925
67,puerto ayora,-0.7393,-90.3518,80.01,89,16,4.0,EC,1616888925
68,fandriana,-20.2333,47.3833,58.19,95,0,3.56,MG,1616888926
69,amapa,1.0,-52.0,71.28,99,100,2.37,BR,1616888926
70,sioux lookout,50.1001,-91.917,35.6,32,75,13.8,CA,1616888927
71,pathardi,19.1667,75.1833,76.91,18,1,2.64,IN,1616888927
72,sidi ali,36.0998,0.4206,58.5,62,14,7.96,DZ,1616888928
73,taitung,22.7583,121.1444,73.4,78,20,5.75,TW,1616888929
74,hithadhoo,-0.6,73.0833,83.28,74,100,15.14,MV,1616888929
75,anadyr,64.75,177.4833,1.4,71,0,13.42,RU,1616888930
76,axim,4.8699,-2.2405,78.44,85,59,4.0,GH,1616888930
77,itupiranga,-5.1347,-49.3267,77.0,94,0,3.44,BR,1616888931
78,natal,-5.795,-35.2094,78.8,89,75,4.61,BR,1616888663
79,khatanga,71.9667,102.5,0.59,96,98,8.25,RU,1616888932
80,mazagao,-0.115,-51.2894,84.2,84,0,6.91,BR,1616888933
81,touros,-5.1989,-35.4608,77.0,94,75,2.3,BR,1616888933
82,kodinsk,58.6881,99.1844,21.52,97,100,3.04,RU,1616888934
83,narsaq,60.9167,-46.05,10.4,48,75,1.14,GL,1616888934
84,cangzhou,38.3167,116.8667,58.68,49,69,15.88,CN,1616888935
85,saint george,37.1041,-113.5841,69.01,19,1,4.61,US,1616888935
86,bilibino,68.0546,166.4372,-4.34,83,18,2.57,RU,1616888936
87,general pico,-35.6566,-63.7568,54.63,93,86,5.73,AR,1616888744
88,ures,29.4333,-110.4,82.99,14,0,5.01,MX,1616888938
89,lebyazhye,55.2689,66.4947,27.27,94,100,16.02,RU,1616888938
90,killarney,52.05,-9.5167,51.3,93,100,16.62,IE,1616888939
91,longyearbyen,78.2186,15.6401,28.4,74,75,35.68,SJ,1616888939
92,harper,4.375,-7.7169,77.54,88,14,2.66,LR,1616888940
93,nikolskoye,59.7035,30.7861,39.99,70,0,6.71,RU,1616888941
94,margate,51.3813,1.3862,46.99,76,100,5.01,GB,1616888941
95,boguchany,58.3814,97.4531,24.37,98,100,3.0,RU,1616888942
96,fenoarivo,-18.933,47.4354,62.6,94,20,5.75,MG,1616888943
97,bloomfield,40.8068,-74.1854,62.6,48,1,5.75,US,1616888943
98,belmonte,-15.8631,-38.8828,78.8,73,0,6.91,BR,1616888944
99,stony plain,53.5334,-114.0021,46.4,57,75,9.22,CA,1616888944
100,pombia,45.653,8.6336,48.99,93,75,3.44,IT,1616888945
101,atuona,-9.8,-139.0333,81.05,76,74,20.42,PF,1616888945
102,sorland,67.667,12.6934,37.17,72,100,19.66,NO,1616888946
103,ouadda,8.0777,22.4007,72.16,34,47,2.33,CF,1616888947
104,traverse city,44.7631,-85.6206,39.2,81,90,4.61,US,1616888947
105,bredasdorp,-34.5322,20.0403,51.8,87,28,4.61,ZA,1616888948
106,goderich,43.7501,-81.7165,42.8,81,92,6.91,CA,1616888949
107,nouadhibou,20.931,-17.0347,64.4,88,0,14.97,MR,1616888949
108,srednekolymsk,67.45,153.6833,0.09,73,97,1.86,RU,1616888950
109,nhulunbuy,-12.2333,136.7667,77.0,94,40,11.5,AU,1616888950
110,nishihara,26.1842,127.7558,75.2,88,75,14.97,JP,1616888951
111,namibe,-15.1961,12.1522,74.89,76,100,4.36,AO,1616888951
112,luanda,-8.8368,13.2343,78.8,89,20,5.75,AO,1616888754
113,palmer,42.1584,-72.3287,57.2,44,75,6.91,US,1616888953
114,pangoa,-12.1167,-73.0,70.05,97,44,1.72,PE,1616888954
115,sal rei,16.1833,-22.9167,68.0,68,40,19.57,CV,1616888933
116,katangli,51.7102,143.2326,22.78,89,34,9.26,RU,1616888955
117,wynyard,-41.0,145.7167,60.87,62,13,10.74,AU,1616888956
118,faanui,-16.4833,-151.75,82.72,73,37,21.21,PF,1616888957
119,westport,41.1415,-73.3579,57.0,62,1,12.66,US,1616888959
120,sainte-anne-des-monts,49.124,-66.4924,24.8,63,91,6.91,CA,1616888959
121,vao,-22.6667,167.4833,77.99,80,13,13.18,NC,1616888961
122,serenje,-13.2325,30.2352,59.77,96,99,1.88,ZM,1616888961
123,kuching,1.55,110.3333,77.0,100,20,1.14,MY,1616888748
124,mackay,-21.15,149.2,82.99,74,0,5.75,AU,1616888963
125,kaifeng,34.7911,114.3483,48.2,100,2,10.63,CN,1616888963
126,puerto escondido,15.85,-97.0667,86.0,79,1,4.61,MX,1616888964
127,atar,20.5169,-13.0499,78.22,22,1,5.86,MR,1616888964
128,norman wells,65.282,-126.8329,12.2,73,75,14.97,CA,1616888965
129,asau,46.4333,26.4,39.99,50,32,5.66,RO,1616888966
130,tiksi,71.6872,128.8694,7.83,94,100,3.2,RU,1616888966
131,babynino,54.39,35.73,26.6,93,100,2.64,RU,1616888967
132,ponta delgada,37.7333,-25.6667,51.8,82,20,1.7,PT,1616888967
133,saskylakh,71.9167,114.0833,-9.65,99,99,0.4,RU,1616888886
134,sinnamary,5.3833,-52.95,76.66,88,90,12.26,GF,1616888969
135,manglaur,29.8,77.8667,66.97,25,0,2.53,IN,1616888969
136,gretna,29.9147,-90.054,80.6,74,40,12.66,US,1616888970
137,komsomolskiy,40.4272,71.7189,53.6,87,75,2.3,UZ,1616888971
138,luderitz,-26.6481,15.1594,63.43,72,0,11.99,NA,1616888971
139,kushmurun,52.4503,64.6311,29.21,94,99,8.52,KZ,1616888972
140,hamilton,39.1834,-84.5333,73.4,43,40,11.5,US,1616888955
141,saint-georges,12.0564,-61.7485,78.8,78,40,13.8,GD,1616888973
142,byron bay,-28.65,153.6167,77.0,57,0,10.36,AU,1616888974
143,hobyo,5.3505,48.5268,79.83,78,16,14.38,SO,1616888974
144,olafsvik,64.8945,-23.7142,27.86,87,100,37.67,IS,1616888975
145,ayan,56.45,138.1667,16.88,83,99,1.86,RU,1616888897
146,emerald,-23.5333,148.1667,82.0,65,8,6.91,AU,1616888976
147,la seyne-sur-mer,43.0982,5.8847,54.0,81,1,1.99,FR,1616888976
148,ulaanbaatar,47.9077,106.8832,10.4,79,0,4.47,MN,1616888977
149,ponta do sol,32.6667,-17.1,64.4,94,75,16.11,PT,1616888978
